GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,step,s_step
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,0,0.011
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,1,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,2,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,3,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,4,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,5,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,6,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,7,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,8,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,9,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,10,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,11,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,12,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,13,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,14,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,15,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,16,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,17,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,18,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,19,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,20,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,21,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,22,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,23,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,24,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,25,0.008
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,26,0.008
